"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1380","[WEB Component] Product card should have expected data","tests.web.component.product","2026-06-01","skipped","2026-06-01","TestProductCard","test_product_card_component","",""
"","550","[WEB] Should add product review with valid data. Case: 'email' username contains '.'","tests.web.component.review","2026-06-01","passed","2026-06-01","TestReviewComponent","test_review_component","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'mobile_number' length = min - 1","tests.api.user","2026-06-01","skipped","2026-06-01","TestUpdateUserApi","test_update_user","",""
"","1740","[WEB Component] Pay with valid card should show success status message. Case: valid: name max length","tests.web.component.payment","2026-06-01","passed","2026-06-01","TestPaymentComponent","test_payment_component","",""
"","0","[WEB] Sign up with invalid data. Case: 'state' length = max - 1","tests.web.component.auth","2026-06-01","skipped","2026-06-01","TestSignUpWeb","test_signup_component","",""
"","1183","[WEB Component] Products Carousel should show previous image when scroll left","tests.web.component.carousel","2026-06-01","passed","2026-06-01","TestProductCarousel","test_product_carousel","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'state' is absent","tests.api.user","2026-06-01","skipped","2026-06-01","TestCreateUserApi","test_create_user","",""
"","1881","[WEB Component] Brand filter should have expected screenshot","tests.web.component.filter","2026-06-01","passed","2026-06-01","TestBrandFilter","test_brand_filter","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'birth_year' is absent","tests.api.user","2026-06-01","skipped","2026-06-01","TestCreateUserApi","test_create_user","",""
"","109","[API] Create user should return 200_OK when send create user request with valid data. Case: 'mobile_number' length = max - 1","tests.api.user","2026-06-01","passed","2026-06-01","TestCreateUserApi","test_create_user","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'email' is empty","tests.api.user","2026-06-01","skipped","2026-06-01","TestUpdateUserApi","test_update_user","",""
"","4414","[WEB Component] Search filter should return empty products catalog","tests.web.component.filter","2026-06-01","passed","2026-06-01","TestSearchFilter","test_search_filter","",""
"","1570","[WEB Component] Pay with valid card should show success status message. Case: valid: boundary valid number","tests.web.component.payment","2026-06-01","passed","2026-06-01","TestPaymentComponent","test_payment_component","",""
"","3510","[WEB] Sign up with valid data. Case: 'first_name' length = max","tests.web.component.auth","2026-06-01","passed","2026-06-01","TestSignUpWeb","test_signup_component","",""
"","3666","[WEB] Sign up with valid data. Case: 'company' length = max","tests.web.component.auth","2026-06-01","passed","2026-06-01","TestSignUpWeb","test_signup_component","",""
"","571","[WEB] Should add product review with valid data. Case: 'message' length = min + 1","tests.web.component.review","2026-06-01","passed","2026-06-01","TestReviewComponent","test_review_component","",""
"","0","[WEB Component] Pay with invalid card should show error message. Case: expiry month = 13","tests.web.component.payment","2026-06-01","skipped","2026-06-01","TestPaymentComponent","test_payment_component","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'company' length = min - 1","tests.api.user","2026-06-01","skipped","2026-06-01","TestCreateUserApi","test_create_user","",""
"","1738","[WEB Component] Place order without authorization notification should have expected data and screenshot","tests.web.component.base","2026-06-01","passed","2026-06-01","TestNotificationComponent","test_notification_component","",""
"","410","[WEB] Should have expected screenshot when not send review","tests.web.component.review","2026-06-01","passed","2026-06-01","TestReviewComponent","test_review_component","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'zipcode' is empty","tests.api.user","2026-06-01","skipped","2026-06-01","TestUpdateUserApi","test_update_user","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'company' is empty","tests.api.user","2026-06-01","skipped","2026-06-01","TestUpdateUserApi","test_update_user","",""
"","560","[WEB Component] Should increase all products total price","tests.web.component.product","2026-06-01","passed","2026-06-01","TestProductItem","test_product_item","",""
"","0","[WEB] Should not add product review with invalid data. Case: 'message' length = max - 1","tests.web.component.review","2026-06-01","skipped","2026-06-01","TestReviewComponent","test_review_component","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'first_name' is empty","tests.api.user","2026-06-01","skipped","2026-06-01","TestCreateUserApi","test_create_user","",""
"","121","[API] Create user should return 200_OK when send create user request with valid data. Case: 'city' length = min","tests.api.user","2026-06-01","passed","2026-06-01","TestCreateUserApi","test_create_user","",""
"","2719","[WEB Component] Image Carousel should show next image when scroll right","tests.web.component.carousel","2026-06-01","passed","2026-06-01","TestImageCarousel","test_image_carousel","",""
"","0","[WEB Component] Pay with invalid card should show error message. Case: expiry year is empty","tests.web.component.payment","2026-06-01","skipped","2026-06-01","TestPaymentComponent","test_payment_component","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'email' contains text before username","tests.api.user","2026-06-01","skipped","2026-06-01","TestCreateUserApi","test_create_user","",""
"","1603","[WEB Component] Pay with valid card should show success status message. Case: valid: expiry month min","tests.web.component.payment","2026-06-01","passed","2026-06-01","TestPaymentComponent","test_payment_component","",""
"","0","[WEB Component] Pay with invalid card should show error message. Case: card number fails luhn check","tests.web.component.payment","2026-06-01","skipped","2026-06-01","TestPaymentComponent","test_payment_component","",""
"","0","[WEB] Should not add product review with invalid data. Case: 'email' contains text before username","tests.web.component.review","2026-06-01","skipped","2026-06-01","TestReviewComponent","test_review_component","",""
"","0","[WEB] Sign up with invalid data. Case: 'last_name' length = min","tests.web.component.auth","2026-06-01","skipped","2026-06-01","TestSignUpWeb","test_signup_component","",""
"","610","[WEB Component] Should navigate to main page by click on header logo","tests.web.component.base","2026-06-01","passed","2026-06-01","TestHeaderComponent","test_header_component","",""
"","101","[API] Get user should return 404_NOT_FOUND when send get user request and user not exists","tests.api.user","2026-06-01","passed","2026-06-01","TestGetUserApi","test_get_user","",""
"","141","[API] Create user should return 200_OK when send create user request with valid data. Case: 'address1' length = max - 1","tests.api.user","2026-06-01","passed","2026-06-01","TestCreateUserApi","test_create_user","",""
"","5512","[WEB Component] Place order without authorization notification proceed to checkout button should navigate to login page","tests.web.component.base","2026-06-01","passed","2026-06-01","TestNotificationComponent","test_notification_component","",""
"","4005","[WEB] Sign up with valid data. Case: 'name' length = min + 1","tests.web.component.auth","2026-06-01","passed","2026-06-01","TestSignUpWeb","test_signup_component","",""
"","1225","[API] Login should return 200_OK when send login request with valid data and contains csrf cookie","tests.api.auth","2026-06-01","passed","2026-06-01","TestAuthApi","test_auth","",""
"","692","[WEB Component] Should delete user name by click on 'Delete Account' button","tests.web.component.base","2026-06-01","passed","2026-06-01","TestHeaderComponent","test_header_component","",""
"","74","[WEB Component] Should visible user name when authorized","tests.web.component.base","2026-06-01","passed","2026-06-01","TestHeaderComponent","test_header_component","",""
