"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'birth_day' is absent","tests.api.user","Mon Mar 23 05:55:58 UTC 2026","skipped","Mon Mar 23 05:55:58 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[WEB] Sign up with invalid data. Case: 'zipcode' length = max","tests.web.component.auth","Mon Mar 23 05:56:27 UTC 2026","skipped","Mon Mar 23 05:56:27 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","2869","[WEB] Sign up with valid data. Case: 'city' length = max","tests.web.component.auth","Mon Mar 23 06:08:44 UTC 2026","passed","Mon Mar 23 06:08:47 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","208","[API] Update user should return 200_OK when send update user request with valid data. Case: 'city' length = min","tests.api.user","Mon Mar 23 05:55:56 UTC 2026","passed","Mon Mar 23 05:55:56 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","535","[WEB] Should add product review with valid data. Case: 'email' domain contains '-'","tests.web.component.review","Mon Mar 23 06:13:18 UTC 2026","passed","Mon Mar 23 06:13:19 UTC 2026","TestReviewComponent","test_review_component","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'email' contains invalid top level domain web","tests.api.user","Mon Mar 23 05:55:35 UTC 2026","skipped","Mon Mar 23 05:55:35 UTC 2026","TestCreateUserApi","test_create_user","",""
"","2385","[WEB Component] Order placed page should have expected screenshot","tests.web.component.payment","Mon Mar 23 06:19:21 UTC 2026","passed","Mon Mar 23 06:19:23 UTC 2026","TestPaymentComponent","test_invoice_file","",""
"","190","[API] Update user should return 200_OK when send update user request with valid data. Case: 'address1' length = min","tests.api.user","Mon Mar 23 05:55:50 UTC 2026","passed","Mon Mar 23 05:55:50 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[WEB] Sign up with invalid data. Case: 'company' length = max","tests.web.component.auth","Mon Mar 23 05:56:27 UTC 2026","skipped","Mon Mar 23 05:56:27 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","4512","[WEB Component] Search filter should return empty products catalog","tests.web.component.filter","Mon Mar 23 06:01:51 UTC 2026","passed","Mon Mar 23 06:01:56 UTC 2026","TestSearchFilter","test_search_filter","",""
"","119","[API] Create user should return 200_OK when send create user request with valid data. Case: 'state' length = max","tests.api.user","Mon Mar 23 05:55:45 UTC 2026","passed","Mon Mar 23 05:55:45 UTC 2026","TestCreateUserApi","test_create_user","",""
"","192","[API] Update user should return 200_OK when send update user request with valid data. Case: 'address2' length = max","tests.api.user","Mon Mar 23 05:55:55 UTC 2026","passed","Mon Mar 23 05:55:55 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'email' contains username hieroglyphs instead of username","tests.api.user","Mon Mar 23 05:55:35 UTC 2026","skipped","Mon Mar 23 05:55:35 UTC 2026","TestCreateUserApi","test_create_user","",""
"","2927","[WEB] Sign up with valid data. Case: 'state' length = min + 1","tests.web.component.auth","Mon Mar 23 06:06:32 UTC 2026","passed","Mon Mar 23 06:06:34 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'name' length = min - 1","tests.api.user","Mon Mar 23 05:55:58 UTC 2026","skipped","Mon Mar 23 05:55:58 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","126","[API] Create user should return 200_OK when send create user request with valid data. Case: 'company' length = min + 1","tests.api.user","Mon Mar 23 05:55:43 UTC 2026","passed","Mon Mar 23 05:55:44 UTC 2026","TestCreateUserApi","test_create_user","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'birth_year' is invalid positive","tests.api.user","Mon Mar 23 05:55:58 UTC 2026","skipped","Mon Mar 23 05:55:58 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","1520","[WEB Component] Search filter should filter products by query","tests.web.component.filter","Mon Mar 23 06:01:11 UTC 2026","passed","Mon Mar 23 06:01:12 UTC 2026","TestSearchFilter","test_search_filter","",""
"","0","[WEB Component] Pay with invalid card should show error message. Case: card number contains special characters","tests.web.component.payment","Mon Mar 23 06:06:04 UTC 2026","skipped","Mon Mar 23 06:06:04 UTC 2026","TestPaymentComponent","test_payment_component","",""
"","0","[WEB] Sign up with invalid data. Case: 'company' length = max - 1","tests.web.component.auth","Mon Mar 23 05:56:27 UTC 2026","skipped","Mon Mar 23 05:56:27 UTC 2026","TestSignUpWeb","test_signup_component","",""
