"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","356","[WEB Component] Should add product to cart when click on add to cart button","tests.web.component.product","2026-08-31","passed","2026-08-31","TestAnimatedProductCard","test_animated_product_card_component","",""
"","0","[WEB Component] Pay with invalid card should show error message. Case: name contains newline","tests.web.component.payment","2026-08-31","skipped","2026-08-31","TestPaymentComponent","test_payment_component","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'first_name' length = max + 1","tests.api.user","2026-08-31","skipped","2026-08-31","TestUpdateUserApi","test_update_user","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'birth_day' is invalid positive","tests.api.user","2026-08-31","skipped","2026-08-31","TestUpdateUserApi","test_update_user","",""
"","1979","[WEB] Sign up with valid data. Case: 'name' length = max","tests.web.component.auth","2026-08-31","passed","2026-08-31","TestSignUpWeb","test_signup_component","",""
"","313","[WEB] Should add product review with valid data. Case: 'email' username is numerical","tests.web.component.review","2026-08-31","passed","2026-08-31","TestReviewComponent","test_review_component","",""
"","0","[WEB] Sign up with invalid data. Case: 'state' length = max","tests.web.component.auth","2026-08-31","skipped","2026-08-31","TestSignUpWeb","test_signup_component","",""
"","0","[WEB] Sign up with invalid data. Case: 'state' length = max - 1","tests.web.component.auth","2026-08-31","skipped","2026-08-31","TestSignUpWeb","test_signup_component","",""
"","2472","[WEB] Sign up with valid data. Case: 'birth_day' length = 31","tests.web.component.auth","2026-08-31","passed","2026-08-31","TestSignUpWeb","test_signup_component","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'company' length = min - 1","tests.api.user","2026-08-31","skipped","2026-08-31","TestCreateUserApi","test_create_user","",""
"","0","[WEB] Should not add product review with invalid data. Case: 'name' length = min - 1","tests.web.component.review","2026-08-31","skipped","2026-08-31","TestReviewComponent","test_review_component","",""
"","157","[API] Create user should return 200_OK when send create user request with valid data. Case: 'first_name' length = max","tests.api.user","2026-08-31","passed","2026-08-31","TestCreateUserApi","test_create_user","",""
"","173","[API] Update user should return 200_OK when send update user request with valid data. Case: 'birth_day' length = 31","tests.api.user","2026-08-31","passed","2026-08-31","TestUpdateUserApi","test_update_user","",""
