"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4844","[WEB] Sign up with valid data. Case: 'first_name' length = max","tests.web.component.auth","Mon May 11 08:06:48 UTC 2026","passed","Mon May 11 08:06:53 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'first_name' length = max + 1","tests.api.user","Mon May 11 08:02:58 UTC 2026","skipped","Mon May 11 08:02:58 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","357","[WEB Component] Delivery address has expected data","tests.web.component.address","Mon May 11 08:26:05 UTC 2026","passed","Mon May 11 08:26:05 UTC 2026","TestAddressComponent","test_address_component","",""
"","209","[API] Create user should return 200_OK when send create user request with valid data. Case: 'company' length = max","tests.api.user","Mon May 11 08:02:39 UTC 2026","passed","Mon May 11 08:02:39 UTC 2026","TestCreateUserApi","test_create_user","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'city' is empty","tests.api.user","Mon May 11 08:02:27 UTC 2026","skipped","Mon May 11 08:02:27 UTC 2026","TestCreateUserApi","test_create_user","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'zipcode' is empty","tests.api.user","Mon May 11 08:02:58 UTC 2026","skipped","Mon May 11 08:02:58 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[WEB] Sign up with invalid data. Case: 'name' length = max - 1","tests.web.component.auth","Mon May 11 08:03:55 UTC 2026","skipped","Mon May 11 08:03:55 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","0","[WEB Component] Pay with invalid card should show error message. Case: cvc only spaces","tests.web.component.payment","Mon May 11 08:15:26 UTC 2026","skipped","Mon May 11 08:15:26 UTC 2026","TestPaymentComponent","test_payment_component","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'birth_month' is absent","tests.api.user","Mon May 11 08:02:27 UTC 2026","skipped","Mon May 11 08:02:27 UTC 2026","TestCreateUserApi","test_create_user","",""
"","272","[API] Update user should return 200_OK when send update user request with valid data. Case: 'zipcode' length = min + 1","tests.api.user","Mon May 11 08:02:55 UTC 2026","passed","Mon May 11 08:02:56 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","138","[API] Create user should return 200_OK when send create user request with valid data. Case: 'first_name' length = min + 1","tests.api.user","Mon May 11 08:02:31 UTC 2026","passed","Mon May 11 08:02:31 UTC 2026","TestCreateUserApi","test_create_user","",""
"","4974","[WEB] Sign up with valid data. Case: 'birth_month' = 12","tests.web.component.auth","Mon May 11 08:11:32 UTC 2026","passed","Mon May 11 08:11:37 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","16195","Purchase products with sign up before checkout","tests.web.e2e","Mon May 11 08:24:12 UTC 2026","passed","Mon May 11 08:24:28 UTC 2026","TestPlaceOrder","test_place_order","",""
"","0","[WEB] Sign up with invalid data. Case: 'state' length = max - 1","tests.web.component.auth","Mon May 11 08:03:55 UTC 2026","skipped","Mon May 11 08:03:55 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","1310","[WEB Component] Should navigate to contact us page by click on 'Contact us' button","tests.web.component.base","Mon May 11 08:06:41 UTC 2026","passed","Mon May 11 08:06:43 UTC 2026","TestHeaderComponent","test_header_component","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'mobile_number' length = max + 1","tests.api.user","Mon May 11 08:02:27 UTC 2026","skipped","Mon May 11 08:02:27 UTC 2026","TestCreateUserApi","test_create_user","",""
"","0","[WEB] Sign up with invalid data. Case: 'company' length = max - 1","tests.web.component.auth","Mon May 11 08:03:55 UTC 2026","skipped","Mon May 11 08:03:55 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","2781","[WEB Component] Should not add negative products count to cart when click on add to cart button","tests.web.component.product","Mon May 11 08:17:48 UTC 2026","passed","Mon May 11 08:17:50 UTC 2026","TestProductCard","test_product_details_component","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'first_name' is empty","tests.api.user","Mon May 11 08:02:27 UTC 2026","skipped","Mon May 11 08:02:27 UTC 2026","TestCreateUserApi","test_create_user","",""
"","303","[API] Create user should return 200_OK when send create user request with valid data. Case: 'birth_month' = 12","tests.api.user","Mon May 11 08:02:36 UTC 2026","passed","Mon May 11 08:02:37 UTC 2026","TestCreateUserApi","test_create_user","",""
"","141","[API] Create user should return 200_OK when send create user request with valid data. Case: 'first_name' length = min","tests.api.user","Mon May 11 08:02:31 UTC 2026","passed","Mon May 11 08:02:31 UTC 2026","TestCreateUserApi","test_create_user","",""
"","0","[WEB] Sign up with invalid data. Case: 'mobile_number' length = max","tests.web.component.auth","Mon May 11 08:03:55 UTC 2026","skipped","Mon May 11 08:03:55 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","6391","[WEB] Sign up with valid data. Case: 'address1' length = max","tests.web.component.auth","Mon May 11 08:19:03 UTC 2026","passed","Mon May 11 08:19:09 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","133","[API] Create user should return 200_OK when send create user request with valid data. Case: 'first_name' length = max","tests.api.user","Mon May 11 08:02:32 UTC 2026","passed","Mon May 11 08:02:32 UTC 2026","TestCreateUserApi","test_create_user","",""
"","5045","[WEB Component] Search filter should return empty products catalog","tests.web.component.filter","Mon May 11 08:09:58 UTC 2026","passed","Mon May 11 08:10:03 UTC 2026","TestSearchFilter","test_search_filter","",""
"","0","[WEB] Should not add product review with invalid data. Case: 'message' length = min","tests.web.component.review","Mon May 11 08:23:52 UTC 2026","skipped","Mon May 11 08:23:52 UTC 2026","TestReviewComponent","test_review_component","",""
"","1901","[WEB Component] Should add product to cart when click on add to cart button","tests.web.component.product","Mon May 11 08:17:27 UTC 2026","passed","Mon May 11 08:17:29 UTC 2026","TestProductCard","test_product_details_component","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'state' is empty","tests.api.user","Mon May 11 08:02:27 UTC 2026","skipped","Mon May 11 08:02:27 UTC 2026","TestCreateUserApi","test_create_user","",""
"","0","[WEB Component] Pay with invalid card should show error message. Case: name contains trailing spaces","tests.web.component.payment","Mon May 11 08:15:26 UTC 2026","skipped","Mon May 11 08:15:26 UTC 2026","TestPaymentComponent","test_payment_component","",""
"","2682","[WEB Component] Should add product to cart when click on add to cart button multiple times","tests.web.component.product","Mon May 11 08:17:05 UTC 2026","passed","Mon May 11 08:17:08 UTC 2026","TestProductCard","test_product_details_component","",""
"","5079","[WEB] Sign up with valid data. Case: 'state' length = min + 1","tests.web.component.auth","Mon May 11 08:14:48 UTC 2026","passed","Mon May 11 08:14:53 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","0","[WEB] Sign up with invalid data. Case: 'company' length = max","tests.web.component.auth","Mon May 11 08:03:55 UTC 2026","skipped","Mon May 11 08:03:55 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","2530","[WEB Component] Pay with valid card should show success status message. Case: valid: expiry month max","tests.web.component.payment","Mon May 11 08:14:56 UTC 2026","passed","Mon May 11 08:14:59 UTC 2026","TestPaymentComponent","test_payment_component","",""
"","152","[API] Create user should return 200_OK when send create user request with valid data. Case: 'mobile_number' length = max - 1","tests.api.user","Mon May 11 08:02:35 UTC 2026","passed","Mon May 11 08:02:35 UTC 2026","TestCreateUserApi","test_create_user","",""
"","0","[WEB Component] Pay with invalid card should show error message. Case: name length = min - 1","tests.web.component.payment","Mon May 11 08:15:26 UTC 2026","skipped","Mon May 11 08:15:26 UTC 2026","TestPaymentComponent","test_payment_component","",""
"","605","[WEB] Should add product review with valid data. Case: 'email' username contains only underscore '-'","tests.web.component.review","Mon May 11 08:22:33 UTC 2026","passed","Mon May 11 08:22:33 UTC 2026","TestReviewComponent","test_review_component","",""
