"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","[WEB] Should not add product review with invalid data. Case: 'message' length = min + 1","tests.web.component.review","Mon May 18 08:51:52 UTC 2026","skipped","Mon May 18 08:51:52 UTC 2026","TestReviewComponent","test_review_component","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'address1' length = max + 1","tests.api.user","Mon May 18 08:33:46 UTC 2026","skipped","Mon May 18 08:33:46 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[WEB] Should not add product review with invalid data. Case: 'email' not contains username","tests.web.component.review","Mon May 18 08:51:52 UTC 2026","skipped","Mon May 18 08:51:52 UTC 2026","TestReviewComponent","test_review_component","",""
"","0","[WEB Component] Pay with invalid card should show error message. Case: card number fails luhn check","tests.web.component.payment","Mon May 18 08:44:07 UTC 2026","skipped","Mon May 18 08:44:07 UTC 2026","TestPaymentComponent","test_payment_component","",""
"","1205","[WEB Component] Products Carousel should first products when scroll right on last image","tests.web.component.carousel","Mon May 18 08:56:41 UTC 2026","passed","Mon May 18 08:56:42 UTC 2026","TestProductCarousel","test_product_carousel","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'address2' is empty","tests.api.user","Mon May 18 08:33:16 UTC 2026","skipped","Mon May 18 08:33:16 UTC 2026","TestCreateUserApi","test_create_user","",""
"","158","[API] Create user should return 200_OK when send create user request with valid data. Case: 'zipcode' length = min","tests.api.user","Mon May 18 08:33:35 UTC 2026","passed","Mon May 18 08:33:35 UTC 2026","TestCreateUserApi","test_create_user","",""
"","0","[WEB Component] Pay with invalid card should show error message. Case: cvc only spaces","tests.web.component.payment","Mon May 18 08:44:07 UTC 2026","skipped","Mon May 18 08:44:07 UTC 2026","TestPaymentComponent","test_payment_component","",""
"","998","[WEB Component] Should have expected success status message after sending contact info","tests.web.component.base","Mon May 18 08:37:57 UTC 2026","passed","Mon May 18 08:37:58 UTC 2026","TestSubscriptionComponent","test_subscription_component","",""
"","3158","[WEB] Sign up with valid data. Case: 'birth_month' = 1","tests.web.component.auth","Mon May 18 08:41:23 UTC 2026","passed","Mon May 18 08:41:26 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'email' contains only special symbols","tests.api.user","Mon May 18 08:33:46 UTC 2026","skipped","Mon May 18 08:33:46 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","3635","[WEB] Sign up with valid data. Case: 'zipcode' length = max","tests.web.component.auth","Mon May 18 08:34:14 UTC 2026","passed","Mon May 18 08:34:17 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","2918","[WEB Component] Products Carousel should last products when scroll left on first slide","tests.web.component.carousel","Mon May 18 08:56:25 UTC 2026","passed","Mon May 18 08:56:27 UTC 2026","TestProductCarousel","test_product_carousel","",""
"","0","[WEB Component] Pay with invalid card should show error message. Case: expiry year in the past","tests.web.component.payment","Mon May 18 08:44:07 UTC 2026","skipped","Mon May 18 08:44:07 UTC 2026","TestPaymentComponent","test_payment_component","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'address1' is empty","tests.api.user","Mon May 18 08:33:46 UTC 2026","skipped","Mon May 18 08:33:46 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'zipcode' is absent","tests.api.user","Mon May 18 08:33:46 UTC 2026","skipped","Mon May 18 08:33:46 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'address2' length = min - 1","tests.api.user","Mon May 18 08:33:46 UTC 2026","skipped","Mon May 18 08:33:46 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'address1' is empty","tests.api.user","Mon May 18 08:33:16 UTC 2026","skipped","Mon May 18 08:33:16 UTC 2026","TestCreateUserApi","test_create_user","",""
"","4361","[WEB] Sign up with valid data. Case: 'first_name' length = min","tests.web.component.auth","Mon May 18 08:36:10 UTC 2026","passed","Mon May 18 08:36:14 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","675","[WEB Component] Should decrease all products total price","tests.web.component.product","Mon May 18 08:48:30 UTC 2026","passed","Mon May 18 08:48:31 UTC 2026","TestProductItem","test_product_item","",""
"","0","[WEB] Should not add product review with invalid data. Case: 'email' is word","tests.web.component.review","Mon May 18 08:51:52 UTC 2026","skipped","Mon May 18 08:51:52 UTC 2026","TestReviewComponent","test_review_component","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'name' length = min - 1","tests.api.user","Mon May 18 08:33:46 UTC 2026","skipped","Mon May 18 08:33:46 UTC 2026","TestUpdateUserApi","test_update_user","",""
