"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","795","[WEB Component] Should navigate to main page by click on header logo","tests.web.component.base","2026-08-24","passed","2026-08-24","TestHeaderComponent","test_header_component","",""
"","0","[WEB] Sign up with invalid data. Case: 'city' length = max - 1","tests.web.component.auth","2026-08-24","skipped","2026-08-24","TestSignUpWeb","test_signup_component","",""
"","563","[API] Update user should return 200_OK when send update user request with valid data. Case: 'last_name' length = min","tests.api.user","2026-08-24","passed","2026-08-24","TestUpdateUserApi","test_update_user","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'email' contains domain with one letter","tests.api.user","2026-08-24","skipped","2026-08-24","TestCreateUserApi","test_create_user","",""
"","429","[API] Create user should return 200_OK when send create user request with valid data. Case: 'company' length = max - 1","tests.api.user","2026-08-24","passed","2026-08-24","TestCreateUserApi","test_create_user","",""
"","0","[WEB] Sign up with invalid data. Case: 'first_name' length = max - 1","tests.web.component.auth","2026-08-24","skipped","2026-08-24","TestSignUpWeb","test_signup_component","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'birth_day' is zero","tests.api.user","2026-08-24","skipped","2026-08-24","TestUpdateUserApi","test_update_user","",""
"","550","[WEB Component] Pay with valid card should show success status message. Case: valid: common latin name","tests.web.component.payment","2026-08-24","passed","2026-08-24","TestPaymentComponent","test_payment_component","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'email' contains only special symbols","tests.api.user","2026-08-24","skipped","2026-08-24","TestCreateUserApi","test_create_user","",""
"","1193","[WEB Component] Product item should have expected data","tests.web.component.product","2026-08-24","passed","2026-08-24","TestProductItem","test_product_item","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'email' is empty","tests.api.user","2026-08-24","skipped","2026-08-24","TestCreateUserApi","test_create_user","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'address1' is empty","tests.api.user","2026-08-24","skipped","2026-08-24","TestCreateUserApi","test_create_user","",""
"","411","[API] Create user should return 200_OK when send create user request with valid data. Case: 'address2' length = max","tests.api.user","2026-08-24","passed","2026-08-24","TestCreateUserApi","test_create_user","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'birth_day' is invalid positive","tests.api.user","2026-08-24","skipped","2026-08-24","TestCreateUserApi","test_create_user","",""
"","0","[WEB] Sign up with invalid data. Case: 'birth_month' = 12","tests.web.component.auth","2026-08-24","skipped","2026-08-24","TestSignUpWeb","test_signup_component","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'name' is absent","tests.api.user","2026-08-24","skipped","2026-08-24","TestCreateUserApi","test_create_user","",""
"","172","[API] Create user should return 200_OK when send create user request with valid data. Case: 'company' length = min","tests.api.user","2026-08-24","passed","2026-08-24","TestCreateUserApi","test_create_user","",""
"","1122","[WEB Component] Should not add negative products count to cart when click on add to cart button","tests.web.component.product","2026-08-24","passed","2026-08-24","TestProductCard","test_product_details_component","",""
"","1789","[WEB] Should add product review with valid data. Case: 'message' length = max","tests.web.component.review","2026-08-24","passed","2026-08-24","TestReviewComponent","test_review_component","",""
"","699","[WEB] Should add product review with valid data. Case: 'email' contains subdomain","tests.web.component.review","2026-08-24","passed","2026-08-24","TestReviewComponent","test_review_component","",""
"","3531","[WEB] Sign up with valid data. Case: 'birth_day' length = 31","tests.web.component.auth","2026-08-24","passed","2026-08-24","TestSignUpWeb","test_signup_component","",""
"","340","[API] Create user should return 200_OK when send create user request with valid data. Case: 'name' length = min + 1","tests.api.user","2026-08-24","passed","2026-08-24","TestCreateUserApi","test_create_user","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'address2' length = max + 1","tests.api.user","2026-08-24","skipped","2026-08-24","TestUpdateUserApi","test_update_user","",""
"","1836","[WEB Component] Should increase product item quantity","tests.web.component.product","2026-08-24","passed","2026-08-24","TestProductItem","test_product_item","",""
"","757","[WEB Component] Subscription component should have expected screenshot","tests.web.component.base","2026-08-24","failed","2026-08-24","TestSubscriptionComponent","test_subscription_component","",""
"","4929","[WEB] Sign up with valid data. Case: 'last_name' length = max - 1","tests.web.component.auth","2026-08-24","passed","2026-08-24","TestSignUpWeb","test_signup_component","",""
"","0","[WEB Component] Pay with invalid card should show error message. Case: card number is empty","tests.web.component.payment","2026-08-24","skipped","2026-08-24","TestPaymentComponent","test_payment_component","",""
"","4663","[WEB Component] Should subscribe with valid email","tests.web.component.base","2026-08-24","failed","2026-08-24","TestSubscriptionComponent","test_subscription_component","",""
"","0","[WEB] Should not add product review with invalid data. Case: 'email' contains text before username","tests.web.component.review","2026-08-24","skipped","2026-08-24","TestReviewComponent","test_review_component","",""
"","284","[API] Update user should return 200_OK when send update user request with valid data. Case: 'last_name' length = max","tests.api.user","2026-08-24","passed","2026-08-24","TestUpdateUserApi","test_update_user","",""
"","509","[API] Update user should return 200_OK when send update user request with valid data. Case: 'birth_year' = 1","tests.api.user","2026-08-24","passed","2026-08-24","TestUpdateUserApi","test_update_user","",""
"","2085","[WEB Component] Product details should have expected data","tests.web.component.product","2026-08-24","passed","2026-08-24","TestProductCard","test_product_details_component","",""
"","0","[WEB Component] Pay with invalid card should show error message. Case: expiry month is empty","tests.web.component.payment","2026-08-24","skipped","2026-08-24","TestPaymentComponent","test_payment_component","",""
"","0","[WEB Component] Pay with invalid card should show error message. Case: name contains digits","tests.web.component.payment","2026-08-24","skipped","2026-08-24","TestPaymentComponent","test_payment_component","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'email' contains '.' before dog symbol","tests.api.user","2026-08-24","skipped","2026-08-24","TestUpdateUserApi","test_update_user","",""
"","2981","[WEB Component] Should add product to cart when click on add to cart button","tests.web.component.product","2026-08-24","passed","2026-08-24","TestProductCard","test_product_details_component","",""
"","6111","Purchase products with login while checkout","tests.web.e2e","2026-08-24","passed","2026-08-24","TestPlaceOrder","test_place_order","",""
"","278","[API] Update user should return 200_OK when send update user request with valid data. Case: 'state' length = min + 1","tests.api.user","2026-08-24","passed","2026-08-24","TestUpdateUserApi","test_update_user","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'address1' length = min - 1","tests.api.user","2026-08-24","skipped","2026-08-24","TestCreateUserApi","test_create_user","",""
"","257","[API] Update user should return 200_OK when send update user request with valid data. Case: 'city' length = min + 1","tests.api.user","2026-08-24","passed","2026-08-24","TestUpdateUserApi","test_update_user","",""
"","777","[WEB Component] Should delete user name by click on 'Delete Account' button","tests.web.component.base","2026-08-24","passed","2026-08-24","TestHeaderComponent","test_header_component","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'birth_year' is zero","tests.api.user","2026-08-24","skipped","2026-08-24","TestUpdateUserApi","test_update_user","",""
"","2352","[WEB Component] Category filter should have expected screenshot when fully expanded","tests.web.component.filter","2026-08-24","passed","2026-08-24","TestCategoryFilter","test_category_filter","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'email' contains domain with one letter","tests.api.user","2026-08-24","skipped","2026-08-24","TestUpdateUserApi","test_update_user","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'last_name' is absent","tests.api.user","2026-08-24","skipped","2026-08-24","TestUpdateUserApi","test_update_user","",""
