"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","266","[API] Update user should return 200_OK when send update user request with valid data. Case: 'last_name' length = min","tests.api.user","Mon Apr 27 07:17:27 UTC 2026","passed","Mon Apr 27 07:17:28 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[WEB] Sign up with invalid data. Case: 'address1' length = min","tests.web.component.auth","Mon Apr 27 07:18:35 UTC 2026","skipped","Mon Apr 27 07:18:35 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'city' length = max + 1","tests.api.user","Mon Apr 27 07:17:59 UTC 2026","skipped","Mon Apr 27 07:17:59 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'address1' length = max + 1","tests.api.user","Mon Apr 27 07:17:59 UTC 2026","skipped","Mon Apr 27 07:17:59 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[WEB Component] Pay with invalid card should show error message. Case: expiry year too short","tests.web.component.payment","Mon Apr 27 07:29:18 UTC 2026","skipped","Mon Apr 27 07:29:18 UTC 2026","TestPaymentComponent","test_payment_component","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'birth_day' is absent","tests.api.user","Mon Apr 27 07:17:59 UTC 2026","skipped","Mon Apr 27 07:17:59 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'email' contains '-' after '@'","tests.api.user","Mon Apr 27 07:17:13 UTC 2026","skipped","Mon Apr 27 07:17:13 UTC 2026","TestCreateUserApi","test_create_user","",""
"","377","[API] Update user should return 200_OK when send update user request with valid data. Case: 'city' length = max - 1","tests.api.user","Mon Apr 27 07:17:55 UTC 2026","passed","Mon Apr 27 07:17:56 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'mobile_number' is empty","tests.api.user","Mon Apr 27 07:17:59 UTC 2026","skipped","Mon Apr 27 07:17:59 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[WEB] Should not add product review with invalid data. Case: 'email' contains '.' before dog symbol","tests.web.component.review","Mon Apr 27 07:37:30 UTC 2026","skipped","Mon Apr 27 07:37:30 UTC 2026","TestReviewComponent","test_review_component","",""
"","961","[WEB Component] Brand filter should have expected screenshot","tests.web.component.filter","Mon Apr 27 07:43:02 UTC 2026","passed","Mon Apr 27 07:43:03 UTC 2026","TestBrandFilter","test_brand_filter","",""
"","4983","[WEB] Sign up with valid data. Case: 'name' length = max","tests.web.component.auth","Mon Apr 27 07:20:05 UTC 2026","passed","Mon Apr 27 07:20:10 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","497","[WEB] Should add product review with valid data. Case: 'name' length = min","tests.web.component.review","Mon Apr 27 07:34:19 UTC 2026","passed","Mon Apr 27 07:34:19 UTC 2026","TestReviewComponent","test_review_component","",""
