"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3372","[WEB] Sign up with valid data. Case: 'city' length = min + 1","tests.web.component.auth","Mon Mar 30 06:30:09 UTC 2026","passed","Mon Mar 30 06:30:12 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","132","[API] Create user should return 200_OK when send create user request with valid data. Case: 'first_name' length = min + 1","tests.api.user","Mon Mar 30 06:16:55 UTC 2026","passed","Mon Mar 30 06:16:56 UTC 2026","TestCreateUserApi","test_create_user","",""
"","308","[WEB Component] Product item should navigate to product page when click on item title","tests.web.component.product","Mon Mar 30 06:30:40 UTC 2026","passed","Mon Mar 30 06:30:40 UTC 2026","TestProductItem","test_product_item","",""
"","0","[WEB Component] Pay with invalid card should show error message. Case: cvc contains letters","tests.web.component.payment","Mon Mar 30 06:28:00 UTC 2026","skipped","Mon Mar 30 06:28:00 UTC 2026","TestPaymentComponent","test_payment_component","",""
"","775","[WEB] Should add product review with valid data. Case: 'name' length = max","tests.web.component.review","Mon Mar 30 06:33:56 UTC 2026","passed","Mon Mar 30 06:33:57 UTC 2026","TestReviewComponent","test_review_component","",""
"","0","[WEB] Should not add product review with invalid data. Case: 'email' contains invalid top level domain web","tests.web.component.review","Mon Mar 30 06:35:57 UTC 2026","skipped","Mon Mar 30 06:35:57 UTC 2026","TestReviewComponent","test_review_component","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'birth_day' is zero","tests.api.user","Mon Mar 30 06:17:17 UTC 2026","skipped","Mon Mar 30 06:17:17 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'birth_year' is absent","tests.api.user","Mon Mar 30 06:17:17 UTC 2026","skipped","Mon Mar 30 06:17:17 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","132","test_search_products_returns_empty_array","tests.api.product","Mon Mar 30 06:16:54 UTC 2026","passed","Mon Mar 30 06:16:54 UTC 2026","TestProductApi","test_product","",""
"","0","[WEB Component] Pay with invalid card should show error message. Case: expiry year is empty","tests.web.component.payment","Mon Mar 30 06:28:00 UTC 2026","skipped","Mon Mar 30 06:28:00 UTC 2026","TestPaymentComponent","test_payment_component","",""
"","2299","[WEB Component] Should add product to cart when click on add to cart button from overlay","tests.web.component.product","Mon Mar 30 06:28:37 UTC 2026","passed","Mon Mar 30 06:28:39 UTC 2026","TestAnimatedProductCard","test_animated_product_card_component","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'address1' length = min - 1","tests.api.user","Mon Mar 30 06:17:17 UTC 2026","skipped","Mon Mar 30 06:17:17 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'company' length = max + 1","tests.api.user","Mon Mar 30 06:16:51 UTC 2026","skipped","Mon Mar 30 06:16:51 UTC 2026","TestCreateUserApi","test_create_user","",""
"","0","[WEB] Sign up with invalid data. Case: 'first_name' length = min","tests.web.component.auth","Mon Mar 30 06:17:52 UTC 2026","skipped","Mon Mar 30 06:17:52 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","0","[WEB] Sign up with invalid data. Case: 'last_name' length = min","tests.web.component.auth","Mon Mar 30 06:17:52 UTC 2026","skipped","Mon Mar 30 06:17:52 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","1939","[WEB Component] Product carousel should have expected product","tests.web.component.carousel","Mon Mar 30 06:21:58 UTC 2026","failed","Mon Mar 30 06:22:00 UTC 2026","TestProductCarousel","test_product_carousel","",""
"","0","[WEB] Should not add product review with invalid data. Case: 'name' is empty","tests.web.component.review","Mon Mar 30 06:35:57 UTC 2026","skipped","Mon Mar 30 06:35:57 UTC 2026","TestReviewComponent","test_review_component","",""
"","565","[WEB Component] Animated product card should have expected data","tests.web.component.product","Mon Mar 30 06:42:25 UTC 2026","passed","Mon Mar 30 06:42:26 UTC 2026","TestAnimatedProductCard","test_animated_product_card_component","",""
"","0","[WEB] Sign up with invalid data. Case: 'address1' length = min + 1","tests.web.component.auth","Mon Mar 30 06:17:52 UTC 2026","skipped","Mon Mar 30 06:17:52 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","4794","[WEB] Sign up with valid data. Case: 'address1' length = max - 1","tests.web.component.auth","Mon Mar 30 06:32:04 UTC 2026","passed","Mon Mar 30 06:32:08 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","5924","Purchase products with login while checkout","tests.web.e2e","Mon Mar 30 06:37:37 UTC 2026","passed","Mon Mar 30 06:37:43 UTC 2026","TestPlaceOrder","test_place_order","",""
"","0","[WEB] Sign up with invalid data. Case: 'city' length = min + 1","tests.web.component.auth","Mon Mar 30 06:17:52 UTC 2026","skipped","Mon Mar 30 06:17:52 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","3737","[WEB] Sign up with valid data. Case: 'first_name' length = max - 1","tests.web.component.auth","Mon Mar 30 06:20:36 UTC 2026","passed","Mon Mar 30 06:20:40 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","0","[WEB] Sign up with invalid data. Case: 'name' length = max","tests.web.component.auth","Mon Mar 30 06:17:52 UTC 2026","skipped","Mon Mar 30 06:17:52 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","818","[WEB] Should add product review with valid data. Case: 'email' username contains only underscore '-'","tests.web.component.review","Mon Mar 30 06:36:08 UTC 2026","passed","Mon Mar 30 06:36:09 UTC 2026","TestReviewComponent","test_review_component","",""
"","288","[API] Create user should return 200_OK when send create user request with valid data. Case: 'address1' length = max - 1","tests.api.user","Mon Mar 30 06:17:06 UTC 2026","passed","Mon Mar 30 06:17:06 UTC 2026","TestCreateUserApi","test_create_user","",""
"","175","[API] Update user should return 200_OK when send update user request with valid data. Case: 'first_name' length = min + 1","tests.api.user","Mon Mar 30 06:16:57 UTC 2026","passed","Mon Mar 30 06:16:57 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[WEB] Should not add product review with invalid data. Case: 'email' is word","tests.web.component.review","Mon Mar 30 06:35:57 UTC 2026","skipped","Mon Mar 30 06:35:57 UTC 2026","TestReviewComponent","test_review_component","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'first_name' length = max + 1","tests.api.user","Mon Mar 30 06:17:17 UTC 2026","skipped","Mon Mar 30 06:17:17 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","223","[API] Update user should return 200_OK when send update user request with valid data. Case: 'city' length = min + 1","tests.api.user","Mon Mar 30 06:17:14 UTC 2026","passed","Mon Mar 30 06:17:15 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","141","[API] Create user should return 200_OK when send create user request with valid data. Case: 'zipcode' length = max","tests.api.user","Mon Mar 30 06:17:09 UTC 2026","passed","Mon Mar 30 06:17:09 UTC 2026","TestCreateUserApi","test_create_user","",""
