"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4787","Purchase products with login while checkout","tests.web.e2e","Sat May 23 19:22:30 UTC 2026","passed","Sat May 23 19:22:35 UTC 2026","TestPlaceOrder","test_place_order","",""
"","9155","[WEB] Sign in with valid data","tests.web.component.auth","Sat May 23 19:03:07 UTC 2026","passed","Sat May 23 19:03:17 UTC 2026","TestLoginWeb","test_login_component","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'mobile_number' length = min - 1","tests.api.user","Sat May 23 19:03:01 UTC 2026","skipped","Sat May 23 19:03:01 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[WEB Component] Pay with invalid card should show error message. Case: card number contains special characters","tests.web.component.payment","Sat May 23 19:13:19 UTC 2026","skipped","Sat May 23 19:13:19 UTC 2026","TestPaymentComponent","test_payment_component","",""
"","315","[WEB Component] Payment component should have expected screenshot","tests.web.component.payment","Sat May 23 19:27:15 UTC 2026","passed","Sat May 23 19:27:15 UTC 2026","TestPaymentComponent","test_payment_component","",""
"","331","[API] Update user should return 200_OK when send update user request with valid data. Case: 'address2' length = max","tests.api.user","Sat May 23 19:02:57 UTC 2026","passed","Sat May 23 19:02:57 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","169","[API] Create user should return 200_OK when send create user request with valid data. Case: 'address2' length = min + 1","tests.api.user","Sat May 23 19:02:49 UTC 2026","passed","Sat May 23 19:02:49 UTC 2026","TestCreateUserApi","test_create_user","",""
"","3114","[WEB] Sign up with valid data. Case: 'state' length = min + 1","tests.web.component.auth","Sat May 23 19:13:49 UTC 2026","passed","Sat May 23 19:13:52 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","195","[API] Create user should return 200_OK when send create user request with valid data. Case: 'zipcode' length = max","tests.api.user","Sat May 23 19:02:51 UTC 2026","passed","Sat May 23 19:02:51 UTC 2026","TestCreateUserApi","test_create_user","",""
"","149","[API] Create user should return 200_OK when send create user request with valid data. Case: 'birth_month' = 12","tests.api.user","Sat May 23 19:02:42 UTC 2026","passed","Sat May 23 19:02:42 UTC 2026","TestCreateUserApi","test_create_user","",""
