"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3215","[WEB] Sign up with valid data. Case: 'birth_month' = 12","tests.web.component.auth","2026-07-06","passed","2026-07-06","TestSignUpWeb","test_signup_component","",""
"","246","[API] Create user should return 200_OK when send create user request with valid data. Case: 'last_name' length = min","tests.api.user","2026-07-06","passed","2026-07-06","TestCreateUserApi","test_create_user","",""
"","429","[API] Create user should return 200_OK when send create user request with valid data. Case: 'birth_year' = 1","tests.api.user","2026-07-06","passed","2026-07-06","TestCreateUserApi","test_create_user","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'email' not contains '@' symbol","tests.api.user","2026-07-06","skipped","2026-07-06","TestUpdateUserApi","test_update_user","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'zipcode' length = max + 1","tests.api.user","2026-07-06","skipped","2026-07-06","TestCreateUserApi","test_create_user","",""
"","4849","[WEB] Sign up with valid data. Case: 'address2' length = max","tests.web.component.auth","2026-07-06","passed","2026-07-06","TestSignUpWeb","test_signup_component","",""
"","261","[API] Update user should return 200_OK when send update user request with valid data. Case: 'address2' length = max","tests.api.user","2026-07-06","passed","2026-07-06","TestUpdateUserApi","test_update_user","",""
"","488","[API] Update user should return 200_OK when send update user request with valid data. Case: 'first_name' length = max","tests.api.user","2026-07-06","passed","2026-07-06","TestUpdateUserApi","test_update_user","",""
"","1232","[WEB Component] Products Carousel should first products when scroll right on last image","tests.web.component.carousel","2026-07-06","passed","2026-07-06","TestProductCarousel","test_product_carousel","",""
"","339","[WEB Component] Should navigate to cart page by click 'Cart' button","tests.web.component.base","2026-07-06","passed","2026-07-06","TestHeaderComponent","test_header_component","",""
"","14409","[WEB] Sign up with valid data. Case: 'last_name' length = max","tests.web.component.auth","2026-07-06","failed","2026-07-06","TestSignUpWeb","test_signup_component","",""
"","0","[WEB] Should not add product review with invalid data. Case: 'email' contains only special symbols","tests.web.component.review","2026-07-06","skipped","2026-07-06","TestReviewComponent","test_review_component","",""
"","0","[WEB Component] Pay with invalid card should show error message. Case: expiry month is empty","tests.web.component.payment","2026-07-06","skipped","2026-07-06","TestPaymentComponent","test_payment_component","",""
"","0","[WEB] Sign up with invalid data. Case: 'state' length = min","tests.web.component.auth","2026-07-06","skipped","2026-07-06","TestSignUpWeb","test_signup_component","",""
"","358","[API] Update user should return 200_OK when send update user request with valid data. Case: 'state' length = max - 1","tests.api.user","2026-07-06","passed","2026-07-06","TestUpdateUserApi","test_update_user","",""
"","0","[WEB Component] Should not subscribe with invalid email","tests.web.component.base","2026-07-06","skipped","2026-07-06","TestSubscriptionComponent","test_subscription_component","",""
"","3598","[WEB] Sign up with valid data. Case: 'zipcode' length = min + 1","tests.web.component.auth","2026-07-06","passed","2026-07-06","TestSignUpWeb","test_signup_component","",""
"","3647","[WEB] Sign up with valid data. Case: 'first_name' length = min","tests.web.component.auth","2026-07-06","passed","2026-07-06","TestSignUpWeb","test_signup_component","",""
"","358","[API] Create user should return 200_OK when send create user request with valid data. Case: 'city' length = min","tests.api.user","2026-07-06","passed","2026-07-06","TestCreateUserApi","test_create_user","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'name' length = max + 1","tests.api.user","2026-07-06","skipped","2026-07-06","TestCreateUserApi","test_create_user","",""
