"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1477","[WEB Component] Should navigate to main page by click on header logo","tests.web.component.base","Mon Apr 20 06:34:59 UTC 2026","passed","Mon Apr 20 06:35:00 UTC 2026","TestHeaderComponent","test_header_component","",""
"","6536","[WEB] Sign up with valid data. Case: 'address2' length = max - 1","tests.web.component.auth","Mon Apr 20 06:51:20 UTC 2026","passed","Mon Apr 20 06:51:27 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","0","[WEB] Should not add product review with invalid data. Case: 'email' not contains domain","tests.web.component.review","Mon Apr 20 06:55:01 UTC 2026","skipped","Mon Apr 20 06:55:01 UTC 2026","TestReviewComponent","test_review_component","",""
"","5457","[WEB Component] Search filter should return empty products catalog","tests.web.component.filter","Mon Apr 20 06:40:24 UTC 2026","passed","Mon Apr 20 06:40:30 UTC 2026","TestSearchFilter","test_search_filter","",""
"","0","[WEB] Sign up with invalid data. Case: 'address2' length = max - 1","tests.web.component.auth","Mon Apr 20 06:34:41 UTC 2026","skipped","Mon Apr 20 06:34:41 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","0","[WEB] Sign up with invalid data. Case: 'last_name' length = min","tests.web.component.auth","Mon Apr 20 06:34:41 UTC 2026","skipped","Mon Apr 20 06:34:41 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'name' length = min - 1","tests.api.user","Mon Apr 20 06:34:06 UTC 2026","skipped","Mon Apr 20 06:34:06 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","152","[API] Create user should return 200_OK when send create user request with valid data. Case: 'state' length = min","tests.api.user","Mon Apr 20 06:33:30 UTC 2026","passed","Mon Apr 20 06:33:31 UTC 2026","TestCreateUserApi","test_create_user","",""
"","532","[API] Create user should return 200_OK when send create user request with valid data. Case: 'address1' length = min","tests.api.user","Mon Apr 20 06:33:35 UTC 2026","passed","Mon Apr 20 06:33:36 UTC 2026","TestCreateUserApi","test_create_user","",""
"","720","[WEB Component] Should remove product from cart","tests.web.component.product","Mon Apr 20 06:49:52 UTC 2026","passed","Mon Apr 20 06:49:53 UTC 2026","TestProductItem","test_product_item","",""
"","529","[WEB] Should add product review with valid data. Case: 'email' contains subdomain","tests.web.component.review","Mon Apr 20 06:53:37 UTC 2026","passed","Mon Apr 20 06:53:37 UTC 2026","TestReviewComponent","test_review_component","",""
"","657","[WEB Component] Should delete user name by click on 'Delete Account' button","tests.web.component.base","Mon Apr 20 06:37:00 UTC 2026","passed","Mon Apr 20 06:37:01 UTC 2026","TestHeaderComponent","test_header_component","",""
"","423","[API] Create user should return 200_OK when send create user request with valid data. Case: 'birth_year' = 1","tests.api.user","Mon Apr 20 06:33:27 UTC 2026","passed","Mon Apr 20 06:33:27 UTC 2026","TestCreateUserApi","test_create_user","",""
"","5867","[WEB] Sign up with valid data. Case: 'city' length = max","tests.web.component.auth","Mon Apr 20 06:48:19 UTC 2026","passed","Mon Apr 20 06:48:25 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'address1' is empty","tests.api.user","Mon Apr 20 06:34:06 UTC 2026","skipped","Mon Apr 20 06:34:06 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","212","[API] Create user should return 200_OK when send create user request with valid data. Case: 'first_name' length = max","tests.api.user","Mon Apr 20 06:33:19 UTC 2026","passed","Mon Apr 20 06:33:19 UTC 2026","TestCreateUserApi","test_create_user","",""
"","263","[API] Create user should return 200_OK when send create user request with valid data. Case: 'birth_day' = 1","tests.api.user","Mon Apr 20 06:33:24 UTC 2026","passed","Mon Apr 20 06:33:25 UTC 2026","TestCreateUserApi","test_create_user","",""
"","0","[WEB Component] Pay with invalid card should show error message. Case: cvc contains special characters","tests.web.component.payment","Mon Apr 20 06:45:57 UTC 2026","skipped","Mon Apr 20 06:45:57 UTC 2026","TestPaymentComponent","test_payment_component","",""
"","2496","[WEB Component] Should increase product item quantity","tests.web.component.product","Mon Apr 20 06:49:13 UTC 2026","passed","Mon Apr 20 06:49:15 UTC 2026","TestProductItem","test_product_item","",""
"","599","[API] Update user should return 200_OK when send update user request with valid data. Case: 'address2' length = min","tests.api.user","Mon Apr 20 06:33:50 UTC 2026","passed","Mon Apr 20 06:33:50 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[WEB] Sign up with invalid data. Case: 'mobile_number' length = max - 1","tests.web.component.auth","Mon Apr 20 06:34:41 UTC 2026","skipped","Mon Apr 20 06:34:41 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","520","[API] Get products should return 200_OK and contains expected product title","tests.api.product","Mon Apr 20 06:33:14 UTC 2026","passed","Mon Apr 20 06:33:15 UTC 2026","TestProductApi","test_product","",""
"","425","[API] Create user should return 200_OK when send create user request with valid data. Case: 'company' length = min + 1","tests.api.user","Mon Apr 20 06:33:29 UTC 2026","passed","Mon Apr 20 06:33:29 UTC 2026","TestCreateUserApi","test_create_user","",""
"","5416","[WEB] Sign up with valid data. Case: 'birth_month' = 12","tests.web.component.auth","Mon Apr 20 06:42:36 UTC 2026","passed","Mon Apr 20 06:42:42 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","767","[WEB] Should have expected screenshot when send review","tests.web.component.review","Mon Apr 20 07:02:04 UTC 2026","passed","Mon Apr 20 07:02:05 UTC 2026","TestReviewComponent","test_review_component","",""
"","0","[WEB] Should not add product review with invalid data. Case: 'name' length = min - 1","tests.web.component.review","Mon Apr 20 06:55:01 UTC 2026","skipped","Mon Apr 20 06:55:01 UTC 2026","TestReviewComponent","test_review_component","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'city' length = max + 1","tests.api.user","Mon Apr 20 06:33:11 UTC 2026","skipped","Mon Apr 20 06:33:11 UTC 2026","TestCreateUserApi","test_create_user","",""
"","473","[API] Update user should return 200_OK when send update user request with valid data. Case: 'name' length = max - 1","tests.api.user","Mon Apr 20 06:33:18 UTC 2026","passed","Mon Apr 20 06:33:19 UTC 2026","TestUpdateUserApi","test_update_user","",""
